in:Altura [m],in:Apertura [%],in:Materiales,out:Energía [kWh/m2],out:ASE250 [%Area],out:UDI300 [%],out:UDI+ [%],out:DA300 [%],out:DA500 [%],out:DA750 [%],out:DA1000 [%],out:DA1250 [%],out:Valor m2/p [COP],img_1
10,0.05,CS,4,9.9,33.8,1.8,35.6,19.2,9,4.7,2.7,0.7,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.05_materiales4_c.png
3,0.1,CS,7.9,36.6,89.3,8.9,98.2,83.9,59.4,37.3,25.5,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.1_materiales4_c.png
4,0.1,CS,7.9,20.5,90.9,5.3,96.1,81.2,57.9,35.6,20.9,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.1_materiales4_c.png
5,0.1,CS,7.9,25.6,88.7,6.8,95.4,75.8,51.5,30.9,18.1,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.1_materiales4_c.png
6,0.1,CS,7.9,29.8,84.8,7.3,92.1,68.5,46.7,27.8,18,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.1_materiales4_c.png
8,0.1,CS,7.9,22,81.5,5.2,86.7,56.8,35.9,21.6,12.3,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.1_materiales4_c.png
10,0.1,CS,7.9,16.7,74.6,3.7,78.3,46.3,28.8,17,9.8,0.3,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.1_materiales4_c.png
3,0.15,CS,11.9,48.1,85.6,14.4,100,97.1,84.8,69,52.1,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura3_apertura0.15_materiales4_c.png
4,0.15,CS,11.9,38.4,88.9,10.9,99.8,95.6,81.7,67,49.9,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura4_apertura0.15_materiales4_c.png
5,0.15,CS,11.9,39.6,88.7,10.6,99.3,93.1,76.4,59.8,46.1,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura5_apertura0.15_materiales4_c.png
6,0.15,CS,11.9,42.4,87.5,11.1,98.6,89.4,69.2,54.2,39.8,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura6_apertura0.15_materiales4_c.png
8,0.15,CS,11.9,34.2,89.3,8.8,98.1,83.8,59.5,44.5,32.6,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura8_apertura0.15_materiales4_c.png
10,0.15,CS,11.9,23,89.7,5.1,94.8,73.7,48.4,34.3,24,0.2,https://monsieurpablo.github.io/EnvolventesInteligentes/design_explorer_data/DefaultData/altura10_apertura0.15_materiales4_c.png
